1,4612
2,4921
3,5541
4,6426
5,7616
6,8920
7,10407
8,12431
9,14875
10,17142
1,4656
2,4963
3,5532
4,6448
5,7530
6,8971
7,10615
8,12542
9,15073
10,17551
1,4612
2,4612
3,4887
4,5390
5,6239
6,7422
7,8721
8,10273
9,12333
10,14779
1,4426
2,4586
3,4882
4,5500
5,6280
6,7398
7,8752
8,10205
9,12390
10,14714
1,4419
2,4582
3,4882
4,5457
5,6229
6,7392
7,8717
8,10317
9,12274
10,14811
1,4435
2,4592
3,4893
4,5460
5,6276
6,7351
7,8627
8,10265
9,12352
10,14841
1,4442
2,4589
3,4936
4,5459
5,6278
6,7339
7,8705
8,10332
9,12329
10,14701
1,4465
2,4594
3,4914
4,5469
5,6267
6,7300
7,8746
8,10409
9,12418
10,14646
1,4448
2,4568
3,4905
4,5460
5,6267
6,7364
7,8763
8,10415
9,12436
10,14674
1,4457
2,4590
3,4889
4,5446
5,6222
6,7330
7,8691
8,10274
9,12446
10,14875
